StreetNumber,StreetName,City,StateOrProvince,CountyOrParish,PostalCode,ClosePrice,ElementarySchool,MiddleSchool,HighSchool,SubdComplex,Stories,UpperBedrooms,UpperFullBaths,UpperHalfBaths,MainBedrooms,MainFullBaths,MainHalfBaths,LowerBedrooms,LowerFullBaths,LowerHalfBaths,ParkingDesc,BasementDesc,FireplacesNum,PoolonProperty,YearBuilt,Exterior,SqFtTotal,AssociationFee,CloseDate,CDOM
1209,Druid,Atlanta,Georgia,Dekalb,30307,1234900,Lin,Inman,Grady,Freedom Park,2 Or + Stories,4,3,0,1,1,0,1,1,0,"2 Car Garage, Drive Under Main Level","Bath, Daylight, Finished, Full",1,None,2015,"Deck, Fenced Yard, Front Porch",4422,0,2/26/2016,81
1607,Marlbrook,Atlanta,Georgia,Dekalb,30307,1070000,Lin,Inman,Grady,Candler Park,2 Or + Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Driveway","Bath, Daylight, Exterior Entry, Finished, Full, Driveway Access",1,None,2008,"Deck, Fenced Yard, Front Porch, Garden Area, Prof Landscaping, Patio, Irrigation System",3839,0,5/29/2015,8
1585,Clifton,Atlanta,Georgia,Dekalb,30307,1057500,Lin,Inman,Grady,Candler Park,2 Or + Stories,4,4,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Storage Room","Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",3,None,2006,"Fenced Yard, Front Porch, Garden Area, Irrigation System, Other, Outdoor Fireplace, Patio, Prof Landscaping",5349,0,3/22/2013,39
1850,Almeta,Atlanta,Georgia,Dekalb,30307,925000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,3,3,0,1,1,1,0,0,0,"2 Car Carport, 2 Car Garage","Bath/Stubbed, Daylight, Exterior Entry, Finished, Full, Interior Entry",1,None,2009,"Deck, Fenced Yard, Front Porch, Garden Area, Prof Landscaping",4984,0,12/15/2014,13
354,Arizona,Atlanta,Georgia,Dekalb,30307,915000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,1,1,1,0,0,0,2 Car Garage,Slab/None,2,None,2016,"Deck, Fenced Yard, Front Porch, Outdoor Fireplace, Prof Landscaping, Wrap-Around Porch",3745,0,7/15/2016,12
1224,North,Atlanta,Georgia,Dekalb,30307,887000,Lin,Inman,Grady,Candler Park,2 Or + Stories,3,2,0,1,1,0,2,1,0,"2 Car Garage, Attached, Auto Garage Door, 1-2 Step Entry","Bath, Daylight, Finished, Interior Entry, Partial, Driveway Access",3,None,2000,"Deck, Fenced Yard, Front Porch, Prof Landscaping, Patio, 1-2 Step Entry",4441,0,5/23/2016,175
1838,Marlbrook,Atlanta,Georgia,Dekalb,30307,880076,Lin,Inman,Grady,LAKE CLAIRE,2 Or + Stories,5,3,0,1,0,1,0,0,0,2 Car Garage,"Bath/Stubbed, Driveway Access, Exterior Entry, Partial",1,None,2014,"Deck, Front Porch, Garden Area",0,0,3/20/2015,21
295,Mathews,Atlanta,Georgia,Dekalb,30307,880000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,4,3,0,1,1,0,1,1,0,"2 Car Garage, Attached, Drive Under Main Level, Driveway","Bath, Daylight, Exterior Entry, Finished, Full, Driveway Access",1,None,2016,"Deck, Front Porch, Prof Landscaping",4021,0,5/2/2016,78
442,Harold,Atlanta,Georgia,Dekalb,30307,875000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,4,3,0,1,1,0,1,1,0,2 Car Garage,"Bath, Daylight, Driveway Access, Finished",1,None,2015,"Deck, Fenced Yard, Front Porch",3560,0,8/7/2015,12
1280,Euclid,Atlanta,Georgia,Dekalb,30307,870000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,2,1,0,0,0,0,"2 Car Carport, Driveway, Detached","Daylight, Exterior Entry, Driveway Access, Unfinished",4,None,1900,"Fenced Yard, Front Porch, Prof Landscaping, Wrap-Around Porch",0,0,5/10/2016,14
